Text_A,Text_B,Text_A_token,Text_B_token,Label
hai người đàn ông vô gia cư đứng bên ngoài với một tấm biển bằng bìa cứng,hai thanh niên vô gia cư cầm tấm biển các tông,hai người đàn_ông vô gia cư đứng bên ngoài với một tấm biển bằng bìa cứng,hai thanh_niên vô gia cư cầm tấm biển các_tông,0
một nâu lội trong nước,một văng tung tóe trong làn nước đục,một nâu lội trong nước,một văng tung tóe trong làn nước đục,0
một người đàn ông mặc áo sơ mi màu cam đội mũ bảo hiểm màu trắng đang đi xe đạp,người đàn ông đội mũ bảo hiểm màu xanh đang lái một chiếc polaris,một người đàn_ông mặc áo sơ_mi màu cam đội mũ bảo_hiểm màu trắng đang đi xe_đạp,người đàn_ông đội mũ bảo_hiểm màu xanh đang lái một chiếc polaris,0
một cậu bé đang đứng trước một bữa tiệc cưới cười,một người đứng trên sân khấu trước đám đông đang ngồi,một cậu bé đang đứng trước một bữa tiệc cưới cười,một người đứng trên sân_khấu trước đám đông đang ngồi,0
một người trên xe trượt tuyết,một người trên xe trượt tuyết giữa bước nhảy,một người trên xe trượt_tuyết,một người trên xe trượt_tuyết giữa bước nhảy,1
người đàn ông đang đứng trên bờ đánh một quả bóng bằng mái chèo,hai cô gái tuổi teen đang đứng bên cạnh bãi biển nghe ipod,người đàn_ông đang đứng trên bờ đánh một quả bóng bằng mái_chèo,hai cô gái tuổi teen đang đứng bên cạnh bãi biển nghe ipod,0
bức ảnh trên cùng cho thấy hai người đàn ông đang nghỉ ngơi,một người đội mũ bơi và kính bảo hộ hít một hơi,bức ảnh trên cùng cho thấy hai người đàn_ông đang nghỉ_ngơi,một người đội mũ_bơi và kính bảo_hộ hít một_hơi,0
hai chú chó nâu chạy cùng nhau trên cát,hai nâu đang chạy trên cát,hai chú chó nâu chạy cùng nhau trên cát,hai nâu đang chạy trên cát,0
một đen đang đuổi theo một chiếc đĩa frisbee đỏ,một xù đen đang chạy trong tuyết,một đen đang đuổi theo một chiếc đĩa frisbee đỏ,một xù đen đang chạy trong tuyết,0
hai cô gái buộc tóc đuôi ngựa đi công viên giải trí,một cô gái trẻ đang đi xe tại một công viên giải trí,hai cô gái buộc tóc đuôi ngựa đi công_viên giải_trí,một cô gái trẻ đang đi xe tại một công_viên giải_trí,0
một đào trên cát,một nâu đào trên cát,một đào trên cát,một nâu đào trên cát,1
hai người đàn ông ngồi trên vỉa hè trước các cửa hàng,một người phụ nữ trong bộ đồ tắm dắt chó đi dạo trên bãi biển,hai người đàn_ông ngồi trên vỉa_hè trước các cửa_hàng,một người phụ_nữ trong bộ đồ tắm dắt chó đi dạo trên bãi biển,0
một đốm đen trắng nhảy qua suối,một đốm đen trắng đang nhảy qua dòng nước nhỏ,một đốm đen trắng nhảy qua suối,một đốm đen trắng đang nhảy qua dòng nước nhỏ,1
một người đi xe đạp bmx,một người đàn ông đi xe đạp giữa không trung,một người đi xe_đạp bmx,một người đàn_ông đi xe_đạp giữa không_trung,1
hai chạy qua đám cỏ cao,hai đang chạy qua một khu vực cỏ,hai chạy qua đám cỏ cao,hai đang chạy qua một khu_vực cỏ,0
chú chó nhỏ màu trắng đeo dây xích nhảy theo quả bóng màu đỏ,một đen trắng trả lại một cây gậy trong tuyết,chú chó nhỏ màu trắng đeo dây_xích nhảy theo quả bóng màu đỏ,một đen trắng trả lại một cây gậy trong tuyết,0
một nhóm người đứng bên ngoài một tòa nhà,một nhóm lớn người đã xếp thành một hàng bên ngoài,một nhóm người đứng bên ngoài một tòa nhà,một nhóm lớn người đã xếp thành một hàng bên ngoài,0
một nhóm bốn đứa trẻ nhảy múa ở sân sau,một nhóm trẻ em kéo dài trên thảm màu,một nhóm bốn đứa trẻ nhảy_múa ở sân sau,một nhóm trẻ_em kéo_dài trên thảm màu,0
một nhóm thanh thiếu niên đang nhảy lên không trung trên bãi biển,một nhóm thanh niên nhảy lên không trung khi đang ở trên bãi biển,một nhóm thanh thiếu_niên đang nhảy lên không_trung trên bãi biển,một nhóm thanh_niên nhảy lên không_trung khi đang ở trên bãi biển,1
một cậu bé vẫy tay xung quanh một chiếc pháo hoa,một cậu bé đang vặn một tia lửa xung quanh trong không khí,một cậu bé vẫy tay xung_quanh một chiếc pháo_hoa,một cậu bé đang vặn một tia lửa xung_quanh trong không_khí,0
một số người đang ngồi quanh đống lửa vào ban đêm,một nhóm người đang đứng và ngồi xung quanh trên mặt đất vào ban đêm,một_số người đang ngồi quanh đống lửa vào ban_đêm,một nhóm người đang đứng và ngồi xung_quanh trên mặt_đất vào ban_đêm,0
hai giống chó nâu và trắng khác nhau chơi trên bãi biển,hai chú chó chơi đùa trên cát ở bãi biển,hai giống chó nâu và trắng khác nhau chơi trên bãi biển,hai chú chó chơi_đùa trên cát ở bãi biển,0
một người đàn ông và hai người phụ nữ mặc trang phục ma cà rồng,một người đàn ông và hai người phụ nữ mặc trang phục,một người đàn_ông và hai người phụ_nữ mặc trang_phục ma cà_rồng,một người đàn_ông và hai người phụ_nữ mặc trang_phục,1
hai cậu bé một người đội mũ trong một sân chơi,cậu bé đội mũ rám nắng cười khi ngồi gần thiết bị sân chơi,hai cậu bé một người đội mũ trong một sân_chơi,cậu bé đội mũ rám nắng cười khi ngồi gần thiết_bị sân_chơi,0
hai chơi đùa trong tuyết,hai chơi đùa trong tuyết,hai chơi_đùa trong tuyết,hai chơi_đùa trong tuyết,1
một người phụ nữ bế một đứa trẻ trong khi một người đàn ông nhìn nó trong khi một người đàn ông khác bế một đứa trẻ quan sát,một người phụ nữ đứng dang tay trong một cửa hàng trong khi một người phụ nữ khác cầm máy ảnh,một người phụ_nữ bế một đứa trẻ trong khi một người đàn_ông nhìn nó trong khi một người đàn_ông khác bế một đứa trẻ quan_sát,một người phụ_nữ đứng dang tay trong một cửa_hàng trong khi một người phụ_nữ khác cầm máy_ảnh,1
một lông trắng đang chạy trong tuyết trắng tinh khiết,một lông xù trắng chạy trong tuyết,một lông trắng đang chạy trong tuyết trắng_tinh_khiết,một lông xù trắng chạy trong tuyết,1
một người phụ nữ cầm một tờ báo,một người đàn ông trượt patin trên một thanh kim loại,một người phụ_nữ cầm một tờ báo,một người đàn_ông trượt patin trên một thanh kim_loại,0
một nhóm người đàn ông chơi nhạc cụ bằng đồng,một nhóm người đàn ông chơi nhạc cụ bên ngoài,một nhóm người đàn_ông chơi nhạc_cụ bằng đồng,một nhóm người đàn_ông chơi nhạc_cụ bên ngoài,1
hai cô gái trên bờ nhìn mọi người trên một chiếc thuyền câu cá,hai người đàn ông một người mặc đồ đỏ và một người mặc đồ trắng đang chơi một trận bóng rổ,hai cô gái trên bờ nhìn mọi người trên một chiếc thuyền câu cá,hai người đàn_ông một người mặc đồ đỏ và một người mặc đồ trắng đang chơi một trận bóng_rổ,0
một người trượt tuyết nhảy lên không trung,một người trượt tuyết bay trong không trung,một người trượt_tuyết nhảy lên không_trung,một người trượt_tuyết bay trong không_trung,1
một trắng với đôi tai đỏ đang chạy trong tuyết,một đen ướt với cổ áo đỏ đang ở trên sông,một trắng với đôi tai đỏ đang chạy trong tuyết,một đen ướt với cổ áo đỏ đang ở trên sông,0
một bé gái và một bé trai nắm tay nhau trên một đường trượt sáng bóng,một cô bé mặc váy paisley chạy qua sân chơi đầy cát,một bé gái và một bé trai nắm tay nhau trên một đường trượt sáng bóng,một cô bé mặc váy paisley chạy qua sân_chơi đầy cát,0
trẻ em chơi bóng đá trên sân,ba cậu bé chơi bóng đá trên một cánh đồng,trẻ_em chơi bóng_đá trên sân,ba cậu bé chơi bóng_đá trên một cánh đồng,0
một người đàn ông nhảy từ mái nhà này sang mái nhà khác,một thanh niên nhảy từ ban công này sang ban công khác,một người đàn_ông nhảy từ mái nhà này sang mái nhà khác,một thanh_niên nhảy từ ban_công này sang ban_công khác,0
một đứa trẻ kéo một đứa trẻ khác ngồi trong một toa xe màu đỏ dọc theo bãi cát,một cậu bé kéo một cậu bé khác đội một chiếc mũ ngớ ngẩn trong một toa xe phát thanh,một đứa trẻ kéo một đứa trẻ khác ngồi trong một toa_xe màu đỏ dọc theo bãi cát,một cậu bé kéo một cậu bé khác đội một chiếc mũ ngớ_ngẩn trong một toa_xe phát_thanh,0
một con cú có cánh lên và lan rộng vào ban ngày,con chim có đôi cánh dang rộng khi bay,một con cú có cánh lên và lan rộng vào ban_ngày,con chim có đôi cánh dang rộng khi bay,0
một người đàn ông đội mũ lưỡi trai màu xanh đang ngồi trên một chiếc ghế đẩu dưới gốc cây,một đứng trên bãi biển với một quả bóng gần đó,một người đàn_ông đội mũ lưỡi_trai màu xanh đang ngồi trên một chiếc ghế_đẩu dưới gốc cây,một đứng trên bãi biển với một quả bóng gần đó,0
một người phụ nữ hát vào micro bởi một chàng trai chơi guitar,một người phụ nữ hát vào micro với một người chơi guitar ở phía sau,một người phụ_nữ hát vào micro bởi một chàng trai chơi guitar,một người phụ_nữ hát vào micro với một người chơi guitar ở phía sau,1
ba con cừu gặm cỏ trên cánh đồng cỏ với một đi phía sau họ,một nhóm nhỏ dê trên cỏ với một đen trắng ở backgroud,ba con cừu gặm cỏ trên cánh đồng_cỏ với một đi phía sau họ,một nhóm nhỏ dê trên cỏ với một đen trắng ở backgroud,0
một người đi xe đạp đang thực hiện cú nhảy xe đạp của mình giữa hai tảng đá,một người đàn ông nhảy xe đạp lên không trung giữa hai tảng đá,một người đi xe_đạp đang thực_hiện cú nhảy xe_đạp của mình giữa hai tảng đá,một người đàn_ông nhảy xe_đạp lên không_trung giữa hai tảng đá,0
một cô gái trẻ đội chiếc mũ màu hồng với một tòa nhà màu vàng ở phía sau,một cô gái trẻ trong chiếc váy màu hồng với thứ gì đó trên tay,một cô gái trẻ đội chiếc mũ màu hồng với một tòa nhà màu vàng ở phía sau,một cô gái trẻ trong chiếc váy màu hồng với thứ gì đó trên tay,0
một cô gái mặc váy hồng đạp xe dọc theo hàng rào trắng,một cô gái mặc váy đỏ đạp xe trước hàng rào trắng,một cô gái mặc váy hồng đạp xe dọc theo hàng_rào trắng,một cô gái mặc váy đỏ đạp xe trước hàng_rào trắng,1
một con vật lông màu nâu đứng đằng sau một số cây,một chiếc quần chó khi đứng trong rừng,một con vật lông màu nâu đứng đằng sau một_số cây,một chiếc quần chó khi đứng trong rừng,0
một đứa trẻ mặc áo đỏ đang sử dụng một tấm ván đánh thức màu đen để tung tăng trên một con sóng biển,một người đàn ông trên một chiếc thuyền chèo đang chèo trên mặt nước xanh,một đứa trẻ mặc áo đỏ đang sử_dụng một tấm ván đánh_thức màu đen để tung_tăng trên một con sóng biển,một người đàn_ông trên một chiếc thuyền chèo đang chèo trên mặt_nước xanh,0
rám nắng và trắng đang chạy trên cánh đồng,những nâu và trắng chạy qua cánh đồng,rám nắng và trắng đang chạy trên cánh đồng,những nâu và trắng chạy qua cánh đồng,0
hai cô gái tuổi teen một người đang mỉm cười,một cô bé trên xích đu trẻ em,hai cô gái tuổi teen một người đang mỉm cười,một cô bé trên xích_đu trẻ_em,0
hai con chim tương tác trên cỏ,hai chơi với nhau ngoài trời,hai con chim tương_tác trên cỏ,hai chơi với nhau ngoài_trời,0
hai người đi bộ đường dài đứng trên đỉnh một ngọn núi tuyết,hai người leo núi đứng trên đỉnh núi nhìn xung quanh,hai người đi bộ đường dài đứng trên đỉnh một ngọn núi tuyết,hai người leo núi đứng trên đỉnh núi nhìn xung_quanh,0
hai đứa trẻ trên cánh đồng hoa đỏ,hai đứa trẻ đang chơi đùa trên cánh đồng hoa đỏ,hai đứa trẻ trên cánh đồng hoa đỏ,hai đứa trẻ đang chơi_đùa trên cánh đồng hoa đỏ,1
một thanh niên nhảy từ tảng đá xuống hồ,một thanh niên mặc quần bơi màu đỏ nhảy từ một tảng đá lớn xuống nước,một thanh_niên nhảy từ tảng đá xuống hồ,một thanh_niên mặc quần bơi màu đỏ nhảy từ một tảng đá lớn xuống_nước,1
một đen nhỏ đang ở trên cỏ,một đen đang chạy trên cỏ,một đen nhỏ đang ở trên cỏ,một đen đang chạy trên cỏ,1
một phụ nữ mặc kimono đang nhìn vào máy ảnh,hai cô gái mặc đồ đen đang ngồi trong một căn phòng tạo dáng khêu gợi trước ống kính,một phụ_nữ mặc kimono đang nhìn vào máy_ảnh,hai cô gái mặc đồ đen đang ngồi trong một căn phòng tạo dáng khêu_gợi trước ống_kính,0
một nhóm người đang bắn một khinh khí cầu,một nhóm lớn người cưỡi ngựa nâu và trắng,một nhóm người đang bắn một khinh khí_cầu,một nhóm lớn người cưỡi ngựa nâu và trắng,0
trẻ em chơi chiến đấu với kiếm,một đứa trẻ và cha mẹ nuôi một con ngựa,trẻ_em chơi chiến_đấu với kiếm,một đứa trẻ và cha_mẹ nuôi một con ngựa,0
một người đàn ông đang chèo thuyền trong đại dương,một đang chạy qua đại dương,một người đàn_ông đang chèo thuyền trong đại_dương,một đang chạy qua đại_dương,0
ba chú chó đua trên đường đất,ô tô đua trên đường đất,ba chú chó đua trên đường_đất,ô_tô đua trên đường_đất,1
hai người nắm tay nhau đi trên một cánh đồng,hai người đàn ông đi ngang qua một bức tranh tường của một chiếc xe hơi,hai người nắm tay nhau đi trên một cánh đồng,hai người đàn_ông đi ngang qua một bức tranh_tường của một chiếc xe_hơi,0
một nâu đuổi theo một chiếc đĩa frisbee,một nâu ngồi xổm trên cỏ,một nâu đuổi theo một chiếc đĩa frisbee,một nâu ngồi_xổm trên cỏ,0
người phụ nữ mặc quần yếm màu đỏ đứng trên vỉa hè,một người phụ nữ mặc quần yếm màu đỏ đứng trên vỉa hè,người phụ_nữ mặc quần yếm màu đỏ đứng trên vỉa_hè,một người phụ_nữ mặc quần yếm màu đỏ đứng trên vỉa_hè,1
một đang chạy qua một sân sau đầy lá,ba chạy qua một cánh đồng,một đang chạy qua một sân sau đầy lá,ba chạy qua một cánh đồng,0
hai chú cún con chơi đùa trên cỏ,hai chú chó con chơi trên cỏ,hai chú cún con chơi_đùa trên cỏ,hai chú chó con chơi trên cỏ,1
hai đen trắng đang chơi đùa với nhau bên ngoài,hai đứa trẻ và một đen đang chơi đùa trong tuyết,hai đen trắng đang chơi_đùa với nhau bên ngoài,hai đứa trẻ và một đen đang chơi_đùa trong tuyết,0
ba chạy qua nước,một đen chạy qua nước,ba chạy qua nước,một đen chạy qua nước,1
một người phụ nữ ngồi một mình dựa vào bức tường gạch,một người phụ nữ đang đi bộ với một chiếc túi màu đỏ,một người phụ_nữ ngồi một mình dựa vào bức tường gạch,một người phụ_nữ đang đi bộ với một chiếc túi màu đỏ,0
một nâu mang theo một cây gậy trong miệng,một bơi với một cây gậy trong miệng,một nâu mang theo một cây gậy trong miệng,một bơi với một cây gậy trong miệng,1
một phụ nữ trẻ dựa vào đĩa của mình trong bữa ăn,một phụ nữ trẻ ngực trần ngoại trừ sơn hoặc bùn,một phụ_nữ trẻ dựa vào đĩa của mình trong bữa ăn,một phụ_nữ trẻ ngực trần ngoại_trừ sơn hoặc bùn,0
một người trèo lên một ngọn đồi tuyết trong khi của họ đi theo,một người leo lên một ngọn đồi tuyết trong khi một đen đi theo,một người trèo lên một ngọn đồi tuyết trong khi của họ đi theo,một người leo lên một ngọn đồi tuyết trong khi một đen đi theo,1
một nâu ngồi trên bãi biển,một chú chó chạy trên bãi biển,một nâu ngồi trên bãi biển,một chú chó chạy trên bãi biển,0
thợ lặn chìm trong nước,thợ lặn ở dưới nước,thợ lặn chìm trong nước,thợ lặn ở dưới nước,0
người đàn ông đang đạp xe xuống một ngọn đồi đất,một người đi xe đạp lừa mài xuống lan can,người đàn_ông đang đạp xe xuống một ngọn đồi đất,một người đi xe_đạp lừa mài xuống lan_can,0
một lớn màu xám đang chơi trong tuyết sâu,bốn chơi đùa trong tuyết,một lớn màu xám đang chơi trong tuyết sâu,bốn chơi_đùa trong tuyết,0
một người đàn ông đạp xe trên bãi biển bên bờ biển,một người đàn ông dắt bò đi dạo bên đường,một người đàn_ông đạp xe trên bãi biển bên bờ biển,một người đàn_ông dắt bò đi dạo bên đường,0
một trong xe,một đang cắn cây lau nhà,một trong xe,một đang cắn cây lau_nhà,0
một chú chó với đôi tai mềm đang đi về phía máy ảnh trong rừng,một đứa trẻ đứng trước hình ảnh phản chiếu của chính mình quay về phía máy ảnh và mỉm cười,một chú chó với đôi tai mềm đang đi về phía máy_ảnh trong rừng,một đứa trẻ đứng trước hình_ảnh phản_chiếu của chính mình quay về phía máy_ảnh và mỉm cười,0
một nâu đang bắn nước khắp nơi bằng cách lắc nước ra khỏi chính nó,một trắng đang đứng bên bờ sông lắc mình khô,một nâu đang bắn nước khắp nơi bằng cách lắc nước ra khỏi chính nó,một trắng đang đứng bên bờ sông lắc mình khô,0
một đen trắng đang chạy trên bãi biển,đen và nâu đang chạy qua tuyết,một đen trắng đang chạy trên bãi biển,đen và nâu đang chạy qua tuyết,0
nhiều người trung đông đang ngồi ở phía sau một chiếc xe tải màu xanh,một nhóm người đang ngồi ở phía sau một chiếc xe tải,nhiều người trung đông đang ngồi ở phía sau một chiếc xe_tải màu xanh,một nhóm người đang ngồi ở phía sau một chiếc xe_tải,1
người với hai cột trượt tuyết trượt tuyết xuống một ngọn đồi tuyết,một người trượt tuyết xuống một ngọn đồi tuyết,người với hai cột trượt_tuyết trượt_tuyết xuống một ngọn đồi tuyết,một người trượt_tuyết xuống một ngọn đồi tuyết,1
một người phụ nữ đang ăn cá tại một nhà hàng,một người phụ nữ ăn một con cá lớn trong một nhà hàng,một người phụ_nữ đang ăn cá tại một nhà_hàng,một người phụ_nữ ăn một con cá lớn trong một nhà_hàng,1
một đứa trẻ và hai chơi trong nước,một đứa trẻ mặc phao màu đỏ và xanh nhìn xuống mặt nước,một đứa trẻ và hai chơi trong nước,một đứa trẻ mặc phao màu đỏ và xanh nhìn xuống mặt_nước,0
một vận động viên trượt ván đang thực hiện một thủ thuật trên một bức tường đá,một vận động viên trượt ván cưỡi lên dốc,một vận_động_viên trượt ván đang thực_hiện một thủ_thuật trên một bức tường đá,một vận_động_viên trượt ván cưỡi lên dốc,0
mọi người đang đứng trên thang cuốn di chuyển lên,mọi người đi lên thang cuốn,mọi người đang đứng trên thang_cuốn di_chuyển lên,mọi người đi lên thang_cuốn,0
một phụ nữ đang điều hành của mình thông qua một khóa học nhanh nhẹn,huấn luyện viên điều hành chú chó của mình thông qua khóa huấn luyện với ống màu xanh lá cây,một phụ_nữ đang điều_hành của mình thông_qua một khóa học nhanh_nhẹn,huấn_luyện_viên điều_hành chú chó của mình thông_qua khóa huấn_luyện với ống màu xanh lá cây,0
trắng và nâu đang lắc tai,nâu đang chạy trên cát,trắng và nâu đang lắc tai,nâu đang chạy trên cát,0
một số trẻ em đang giơ tay và vỗ tay,ba đứa trẻ đang chơi bóng đá trên cát,một_số trẻ_em đang giơ tay và vỗ_tay,ba đứa trẻ đang chơi bóng_đá trên cát,0
một người đàn ông thổi một bong bóng lớn,một người đàn ông dắt một con ngựa đen lớn,một người đàn_ông thổi một bong_bóng lớn,một người đàn_ông dắt một con ngựa đen lớn,0
hai người ngồi trên một bến tàu gần mặt nước,hai người ngồi ở cuối bến tàu giữa làn nước tĩnh lặng,hai người ngồi trên một bến_tàu gần mặt_nước,hai người ngồi ở cuối bến_tàu giữa làn nước tĩnh_lặng,0
thủ môn khúc côn cầu nằm trên băng trước lưới,một cầu thủ khúc côn cầu đang nằm trên băng trước khung thành,thủ_môn khúc côn_cầu nằm trên băng trước lưới,một cầu_thủ khúc côn_cầu đang nằm trên băng trước khung_thành,1
một vận động viên trượt tuyết mặc quần tuyết màu xanh đang bay trong không khí gần một cú nhảy,một vận động viên trượt tuyết đứng trên tay trong tuyết trước máy quay phim,một vận_động_viên trượt_tuyết mặc quần tuyết màu xanh đang bay trong không_khí gần một cú nhảy,một vận_động_viên trượt_tuyết đứng trên tay trong tuyết trước máy quay_phim,0
nâu đang chạy dọc theo một con đường cỏ,một nâu đang chạy dọc theo một đoạn cỏ được chia bởi dây,nâu đang chạy dọc theo một con đường cỏ,một nâu đang chạy dọc theo một đoạn cỏ được chia bởi dây,1
cô gái mặc áo sơ mi sọc xanh và rollerblades,một người đàn ông mặc áo sơ mi đen trắng nhảy lên lưng chó,cô gái mặc áo sơ_mi sọc xanh và rollerblades,một người đàn_ông mặc áo sơ_mi đen trắng nhảy lên lưng chó,0
một người đàn ông xăm trổ mặc đồ đen đang chơi guitar trắng và hát,một người phụ nữ mặc áo khoác đen trắng và bịt tai,một người đàn_ông xăm trổ mặc đồ đen đang chơi guitar trắng và hát,một người phụ_nữ mặc áo_khoác đen trắng và bịt tai,0
một chạy dọc theo bãi biển,chàng trai và cô gái chạy dọc theo bãi biển,một chạy dọc theo bãi biển,chàng trai và cô gái chạy dọc theo bãi biển,1
một người đàn ông và một phụ nữ trẻ ngồi trên băng ghế bên ngoài đang hôn nhau,người đàn ông và người phụ nữ ngồi trên băng ghế đang hôn nhau,một người đàn_ông và một phụ_nữ trẻ ngồi trên băng ghế bên ngoài đang hôn nhau,người đàn_ông và người phụ_nữ ngồi trên băng ghế đang hôn nhau,1
một nâu đang nhảy lên để bắt một dây đeo màu xanh lá cây trong miệng của nó,một xám nhảy lên cắn dây xích màu xanh lá cây,một nâu đang nhảy lên để bắt một dây đeo màu xanh lá cây trong miệng của nó,một xám nhảy lên cắn dây_xích màu xanh lá cây,0
một đen đang chạy trên cỏ,một đen và nâu chạy trên cỏ,một đen đang chạy trên cỏ,một đen và nâu chạy trên cỏ,1
một người phụ nữ đang ngồi trên vỉa hè với một chiếc điện thoại di động bên tai,một người phụ nữ đang đi xe đạp,một người phụ_nữ đang ngồi trên vỉa_hè với một chiếc điện_thoại_di_động bên tai,một người phụ_nữ đang đi xe_đạp,0
ba chơi trên một cánh đồng cỏ,một số trẻ em chơi trên một cánh đồng,ba chơi trên một cánh đồng_cỏ,một_số trẻ_em chơi trên một cánh đồng,1
một cậu bé chơi trong một hố bóng màu đỏ,một cậu bé cười nằm trên một cái hố của những quả bóng màu xanh,một cậu bé chơi trong một hố bóng màu đỏ,một cậu bé cười nằm trên một cái hố của những quả bóng màu xanh,0
một người lướt sóng trên sóng,một người lướt sóng đang cưỡi sóng,một người lướt_sóng trên sóng,một người lướt_sóng đang cưỡi sóng,1
người trượt ván lên đến đỉnh dốc,vận động viên trượt ván cưỡi bức tường ống tại một công viên trượt băng,người trượt ván lên đến đỉnh dốc,vận_động_viên trượt ván cưỡi bức tường ống tại một công_viên trượt_băng,0
hai người đàn ông trong một cuộc thi chạy,chó trong một cuộc đua,hai người đàn_ông trong một cuộc thi chạy,chó trong một cuộc đua,0
hai đứa trẻ đang đi bộ trên một con đường trong rừng,hai đứa trẻ đi bộ trên một con đường trong rừng,hai đứa trẻ đang đi bộ trên một con đường trong rừng,hai đứa trẻ đi bộ trên một con đường trong rừng,1
một nâu và trắng đang chạy trên cỏ,nâu và đen đang chạy trên cỏ,một nâu và trắng đang chạy trên cỏ,nâu và đen đang chạy trên cỏ,1
hai chạy cạnh nhau trên bãi cỏ,hai chạy trên cỏ,hai chạy cạnh nhau trên bãi cỏ,hai chạy trên cỏ,0
hai con chó đang đi tiểu vào một vòi chữa cháy màu đỏ,hai đang đi tiểu trên vòi chữa cháy màu đỏ,hai con chó đang đi_tiểu vào một vòi chữa_cháy màu đỏ,hai đang đi_tiểu trên vòi chữa_cháy màu đỏ,1
một cầu thủ bóng bầu dục trong trang phục tối màu đang mang theo một quả bóng bầu dục màu sáng với cánh tay dang rộng,một nâu văng xuống nước trong khi mang một quả bóng trong miệng,một cầu_thủ bóng bầu_dục trong trang_phục tối màu đang mang theo một quả bóng bầu_dục màu sáng với cánh_tay dang rộng,một nâu văng xuống_nước trong khi mang một quả bóng trong miệng,0
hai người đang đi bộ qua một số nước,hai cô gái đang đi bộ bên một cái cây trước một tòa nhà gạch,hai người đang đi bộ qua một_số nước,hai cô gái đang đi bộ bên một cái cây trước một tòa nhà gạch,0
một văng tung tóe trong nước,một văng tung tóe trong làn nước đục,một văng tung tóe trong nước,một văng tung tóe trong làn nước đục,1
một nhóm người đang đi bộ trên vỉa hè của một thành phố lớn,một nhóm người đang ngồi ở phía sau một chiếc xe tải,một nhóm người đang đi bộ trên vỉa_hè của một thành_phố lớn,một nhóm người đang ngồi ở phía sau một chiếc xe_tải,0
ở trong không khí phía trên cỏ,đang nằm trên giường với một tấm trải giường màu xanh,ở trong không_khí phía trên cỏ,đang nằm trên giường với một tấm trải giường màu xanh,0
một đen đang chạy qua một ít nước,một người đàn ông mặc đồng phục bóng đá đang chạy với một quả bóng đá trong một trận đấu,một đen đang chạy qua một_ít nước,một người đàn_ông mặc đồng_phục bóng_đá đang chạy với một quả bóng_đá trong một trận_đấu,0
cô gái đứng trong tàu điện ngầm chờ đợi một cái gì đó,một cô gái đứng trong một khu vực thiếu ánh sáng,cô gái đứng trong tàu_điện_ngầm chờ_đợi một cái gì đó,một cô gái đứng trong một khu_vực thiếu ánh_sáng,0
người đàn ông đang ngồi với một bé gái trong công viên,người đàn ông đang chơi với chú chó nhỏ xù xì,người đàn_ông đang ngồi với một bé gái trong công_viên,người đàn_ông đang chơi với chú chó nhỏ xù_xì,0
một rám nắng lớn đang chạy với một vật phẩm màu xanh lá cây trong miệng,nâu đang mang một món đồ chơi rít màu xanh lá cây trong miệng,một rám nắng lớn đang chạy với một vật_phẩm màu xanh lá cây trong miệng,nâu đang mang một món đồ_chơi rít màu xanh lá cây trong miệng,0
một nhóm người trên thuyền chạy về phía bờ,một lớp học của học sinh xem một bài thuyết trình,một nhóm người trên thuyền chạy về phía bờ,một lớp_học của học_sinh xem một bài thuyết_trình,0
một người đang cưỡi ván trượt trong không khí phía trên một đoạn đường dốc,một người đi xe đạp đang đi dọc theo một yếu tố đường đua nằm với một khu vực nhiều cây cối,một người đang cưỡi ván trượt trong không_khí phía trên một đoạn đường dốc,một người đi xe_đạp đang đi dọc theo một yếu_tố đường đua nằm với một khu_vực nhiều cây_cối,0
một cậu bé trượt ván xuống lan can kim loại vào ban đêm,một nâu chạy trên cát cầm một cây gậy,một cậu bé trượt ván xuống lan_can kim_loại vào ban_đêm,một nâu chạy trên cát cầm một cây gậy,0
một người đang vắt qua một khe hở trên mặt đá,một nâu cỡ trung bình đang chạy qua một khu rừng trắng mở,một người đang vắt qua một khe hở trên mặt đá,một nâu cỡ trung_bình đang chạy qua một khu rừng trắng mở,0
chạy về phía máy ảnh với một quả bóng trong miệng,đen trắng bơi với một vật màu nâu trong miệng,chạy về phía máy_ảnh với một quả bóng trong miệng,đen trắng bơi với một vật màu nâu trong miệng,0
một cô gái trẻ chạy trên bãi biển,một cô bé đang chạy trên bờ biển,một cô gái trẻ chạy trên bãi biển,một cô bé đang chạy trên bờ biển,0
một cầu thủ bóng chày ném bóng,cầu thủ bóng rổ cầm bóng,một cầu_thủ bóng_chày ném bóng,cầu_thủ bóng_rổ cầm bóng,1
một người đàn ông đang đu trên một sợi dây thừng trên mặt nước,một người đàn ông trong bộ đồ tắm màu hạt dẻ đu trên một sợi dây thừng trên hồ,một người đàn_ông đang đu trên một sợi dây thừng trên mặt_nước,một người đàn_ông trong bộ đồ tắm màu hạt_dẻ đu trên một sợi dây thừng trên hồ,1
một cô gái trẻ mặc trang phục chuột minnie và một phụ nữ lớn tuổi đi bộ trên vỉa hè,một người đàn ông mặc vest trắng cầm một tờ báo đi bộ qua các con phố,một cô gái trẻ mặc trang_phục chuột minnie và một phụ_nữ lớn_tuổi đi bộ trên vỉa_hè,một người đàn_ông mặc vest trắng cầm một tờ báo đi bộ qua các con phố,0
